,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTide,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
51,6/20/16,All,All,51,6/20/16 12:00,6/20/16 12:00,0.055515672,68,59,73,30.21,10,13.8,,0,200,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
56,6/20/16,All,All,56,6/20/16 13:00,6/20/16 13:00,0.096276725,68,59,73,30.17,10,13.8,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
61,6/20/16,All,All,61,6/20/16 14:00,6/20/16 14:00,0.208462437,69.1,60.1,73,30.15,10,12.7,,0,180,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
66,6/20/16,All,All,66,6/20/16 15:00,6/20/16 15:00,0.412345575,69.1,59,70,30.13,10,13.8,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
71,6/20/16,All,All,71,6/20/16 16:00,6/20/16 16:00,0.668676404,69.1,60.1,73,30.09,10,15,,0,210,25,1,6,2,52.16666667,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
76,6/20/16,All,All,76,6/20/16 17:00,6/20/16 17:00,0.895130503,69.1,60.1,73,30.07,10,15,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
81,6/20/16,All,All,81,6/20/16 18:00,6/20/16 18:00,1.022825268,68,61,78,30.05,10,12.7,,0,220,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
86,6/20/16,All,All,86,6/20/16 19:00,6/20/16 19:00,1.029370248,66.9,61,81,30.02,10,13.8,,0,210,25,1,33,2,77.72727273,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
91,6/20/16,All,All,91,6/20/16 20:00,6/20/16 20:00,0.925766257,64,60.1,87,30,10,12.7,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
96,6/20/16,All,All,96,6/20/16 21:00,6/20/16 21:00,0.717230788,64,59,84,29.98,10,12.7,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
101,6/20/16,All,All,101,6/20/16 22:00,6/20/16 22:00,0.439626725,64.9,59,81,29.97,10,11.5,,0,210,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
106,6/20/16,All,All,106,6/20/16 23:00,6/20/16 23:00,0.19859243,64,61,90,29.94,10,15,,0,190,25,0,0,,,6/20/16,65.30434783,59.44347826,81.73913043,30.14086957,10,12.07391304,,0,199.1554514,2,39,2,73.79487179,6/20/16 3:56,6/20/16 21:39,6/20/16 5:13,6/20/16 20:22
111,6/21/16,All,All,111,6/21/16 0:00,6/21/16 0:00,0.06911391,64,61,90,29.91,10,13.8,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
116,6/21/16,All,All,116,6/21/16 1:00,6/21/16 1:00,0.029458317,64,61,90,29.87,10,12.7,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
121,6/21/16,All,All,121,6/21/16 2:00,6/21/16 2:00,0.061471519,64.9,61,87,29.86,10,11.5,,0,220,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
126,6/21/16,All,All,126,6/21/16 3:00,6/21/16 3:00,0.193544607,64.9,61,87,29.83,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
131,6/21/16,All,All,131,6/21/16 4:00,6/21/16 4:00,0.415031495,64,61,90,29.8,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
136,6/21/16,All,All,136,6/21/16 5:00,6/21/16 5:00,0.650912929,66,60.1,81,29.76,10,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
141,6/21/16,All,All,141,6/21/16 6:00,6/21/16 6:00,0.816481525,,,,,8,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
146,6/21/16,All,All,146,6/21/16 7:00,6/21/16 7:00,0.864557137,64.65,64.2,98.5,29.82,6.5,,,0,0,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
151,6/21/16,All,All,151,6/21/16 8:00,6/21/16 8:00,0.798971709,64.2,63.7,98,29.835,5.5,2.3,,0,80,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
156,6/21/16,All,All,156,6/21/16 9:00,6/21/16 9:00,0.637345144,64.9,64,97,29.84,6,17.3,20.7,0,190,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
161,6/21/16,All,All,161,6/21/16 10:00,6/21/16 10:00,0.402484025,66.9,64,90,29.79,10,17.3,,0,170,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
166,6/21/16,All,All,166,6/21/16 11:00,6/21/16 11:00,0.177121022,68,64.9,90,29.84,8,18.4,,0,200,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
171,6/21/16,All,All,171,6/21/16 12:00,6/21/16 12:00,0.060303898,70,64,81,29.85,10,19.6,28.8,0.01,230,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
176,6/21/16,All,All,176,6/21/16 13:00,6/21/16 13:00,0.056716908,73.9,64.9,73,29.82,10,17.3,23,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
181,6/21/16,All,All,181,6/21/16 14:00,6/21/16 14:00,0.121900935,75,64.9,71,29.81,10,12.7,,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
186,6/21/16,All,All,186,6/21/16 15:00,6/21/16 15:00,0.261706094,79,64,60,29.79,10,13.8,,0,270,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
191,6/21/16,All,All,191,6/21/16 16:00,6/21/16 16:00,0.486237078,80.1,60.1,50,29.78,10,16.1,,0,240,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
196,6/21/16,All,All,196,6/21/16 17:00,6/21/16 17:00,0.743726453,75,60.1,60,29.78,10,18.4,24.2,0,230,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
201,6/21/16,All,All,201,6/21/16 18:00,6/21/16 18:00,0.950777268,73,57.9,59,29.75,10,13.8,,0,240,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
206,6/21/16,All,All,206,6/21/16 19:00,6/21/16 19:00,1.043458438,71.1,60.1,68,29.75,10,13.8,,0,220,25,1,8,3,60.25,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
211,6/21/16,All,All,211,6/21/16 20:00,6/21/16 20:00,1.007528131,68,62.1,81,29.78,10,13.8,,0,210,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
216,6/21/16,All,All,216,6/21/16 21:00,6/21/16 21:00,0.862623833,66,64,93,29.79,10,12.7,,0,220,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
221,6/21/16,All,All,221,6/21/16 22:00,6/21/16 22:00,0.62524129,66.55,62.8,87.5,29.81,10,11.55,,0,245,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
226,6/21/16,All,All,226,6/21/16 23:00,6/21/16 23:00,0.346902499,66,63,90,,10,5.8,,0,250,25,0,0,,,6/21/16,68.36538462,62.48076923,82.69230769,29.80916667,9.142857143,12.82173913,24.175,0.01,247.4522433,1,8,3,60.25,6/21/16 3:56,6/21/16 21:39,6/21/16 5:13,6/21/16 20:22
231,6/22/16,All,All,231,6/22/16 0:00,6/22/16 0:00,0.133150471,66,61,84,29.82,10,4.6,,0,280,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
236,6/22/16,All,All,236,6/22/16 1:00,6/22/16 1:00,0.037744656,68,55,63,29.83,10,3.5,,0,340,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
241,6/22/16,All,All,241,6/22/16 2:00,6/22/16 2:00,0.028181121,66,55,68,29.83,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
246,6/22/16,All,All,246,6/22/16 3:00,6/22/16 3:00,0.092007034,64.9,54,68,29.82,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
251,6/22/16,All,All,251,6/22/16 4:00,6/22/16 4:00,0.253226248,62.1,53.1,72,29.82,10,3.5,,0,350,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
256,6/22/16,All,All,256,6/22/16 5:00,6/22/16 5:00,0.488361321,62.1,53.1,72,29.82,10,4.6,,0,180,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
261,6/22/16,All,All,261,6/22/16 7:00,6/22/16 7:00,0.717869798,66,60.1,81,29.83,10,8.1,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
266,6/22/16,All,All,266,6/22/16 8:00,6/22/16 8:00,0.858843769,70,57.9,65,29.84,10,6.9,,0,210,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
271,6/22/16,All,All,271,6/22/16 9:00,6/22/16 9:00,0.87087319,72,57,59,29.82,10,8.1,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
276,6/22/16,All,All,276,6/22/16 10:00,6/22/16 10:00,0.768952666,72,59,64,29.83,10,10.4,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
281,6/22/16,All,All,281,6/22/16 11:00,6/22/16 11:00,0.580327358,73,57,57,29.84,10,9.2,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
286,6/22/16,All,All,286,6/22/16 12:00,6/22/16 12:00,0.339265303,72,59,64,29.82,10,11.5,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
291,6/22/16,All,All,291,6/22/16 13:00,6/22/16 13:00,0.135193884,73.9,64,71,29.81,10,11.5,,0,220,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
296,6/22/16,All,All,296,6/22/16 14:00,6/22/16 14:00,0.052635553,71.35,64.2,78,29.815,10,13.8,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
301,6/22/16,All,All,301,6/22/16 15:00,6/22/16 15:00,0.077133412,70,64.9,84,29.81,9,12.7,,0,200,25,1,24,4,82.41666667,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
306,6/22/16,All,All,306,6/22/16 16:00,6/22/16 16:00,0.16378829,70,63,78,29.81,10,10.4,,0,230,25,2,12,4,93.08333333,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
311,6/22/16,All,All,311,6/22/16 17:00,6/22/16 17:00,0.321373772,69.1,62.1,78,29.84,10,9.2,16.1,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
316,6/22/16,All,All,316,6/22/16 18:00,6/22/16 18:00,0.553099045,69.1,60.1,73,29.85,10,3.5,,0,90,25,1,5,3,50.8,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
321,6/22/16,All,All,321,6/22/16 19:00,6/22/16 19:00,0.801999121,73,60.1,64,29.86,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
326,6/22/16,All,All,326,6/22/16 20:00,6/22/16 20:00,0.983954154,69.1,62.1,78,29.88,10,3.5,,0,220,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
331,6/22/16,All,All,331,6/22/16 21:00,6/22/16 21:00,1.038391231,66,61,84,29.89,10,8.1,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
336,6/22/16,All,All,336,6/22/16 22:00,6/22/16 22:00,0.962268141,64.9,60.1,84,29.92,10,9.2,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
341,6/22/16,All,All,341,6/22/16 23:00,6/22/16 23:00,0.785483228,64.9,57.9,78,29.94,10,4.6,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,4,41,3.87804878,81.68292683,6/22/16 3:57,6/22/16 21:39,6/22/16 5:14,6/22/16 20:22
346,6/23/16,All,All,346,6/23/16 0:00,6/23/16 0:00,0.531955111,64.9,57.9,78,29.95,10,5.8,,0,220,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
351,6/23/16,All,All,351,6/23/16 1:00,6/23/16 1:00,0.263552075,64,57.9,80,29.96,10,5.8,,0,210,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
356,6/23/16,All,All,356,6/23/16 2:00,6/23/16 2:00,0.083406753,64,59,84,29.94,10,6.9,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
361,6/23/16,All,All,361,6/23/16 3:00,6/23/16 3:00,0.025188315,64,59,84,29.94,10,8.1,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
366,6/23/16,All,All,366,6/23/16 4:00,6/23/16 4:00,0.045345374,63,59,87,29.93,10,5.8,,0,230,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
371,6/23/16,All,All,371,6/23/16 5:00,6/23/16 5:00,0.134552465,63,59,87,29.93,10,4.6,,0,260,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
376,6/23/16,All,All,376,6/23/16 6:00,6/23/16 6:00,0.314903732,64,57,78,29.92,10,0,,0,0,25,1,5,4,67,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
381,6/23/16,All,All,381,6/23/16 7:00,6/23/16 7:00,0.556125473,64,60.1,87,29.92,10,0,,0,0,25,0,0,,,6/23/16,68.2,60.59166667,77.04166667,29.9,10,7.308333333,,0,205.0306793,3,118,4.042372881,103.5508475,6/23/16 3:57,6/23/16 21:39,6/23/16 5:14,6/23/16 20:22
