Survey ID,Transect,Transect Started,Transect Ended,Transect Comments,GPS Waypoint,Observation.Type,Observation Subtype,Observation Timestamp,Species Code,Count,Species Common Name,Behavior,Direction,Distance,Degree,Observation Comment,Observer,Position,Beaufort ID,Visibility,GPS Latitude,GPS Longitude,GPS Speed (mps),GPS Heading (degrees),GPS Accuracy
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,254,USER,,2017-07-06T15:38:54+00:00,COTE,1,Common Tern,Flying NW,NW,300,,,HFG,Port,2,10,41.1456522,-71.6151293,3.690000057,342,7
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,256,GPS,,2017-07-06T15:39:32+00:00,,,,,,,,,HFG,Port,2,10,41.1468861,-71.6151546,3.440000057,351,9
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,258,USER,,2017-07-06T15:40:23+00:00,COTE,5,Common Tern,Flying N,N,200,,,HFG,Port,2,10,41.1484937,-71.6157921,4.179999828,342,4
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,259,GPS,,2017-07-06T15:40:32+00:00,,,,,,,,,HFG,Port,2,10,41.1487744,-71.6160034,3.410000086,335,14
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,260,GPS,,2017-07-06T15:41:01+00:00,,,,,,,,,HFG,Port,2,10,41.1497922,-71.6163187,3.319999933,344,19
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,261,GPS,,2017-07-06T15:41:32+00:00,,,,,,,,,HFG,Port,2,10,41.1506802,-71.6168648,3.74000001,332,9
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,263,GPS,,2017-07-06T15:42:00+00:00,,,,,,,,,HFG,Port,2,10,41.1514709,-71.6174669,4.46999979,300,5
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,264,USER,,2017-07-06T15:42:09+00:00,COTE,1,Common Tern,Flying S,S,500,,,HFG,Port,2,10,41.1513069,-71.6172161,3.74000001,303,16
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,268,GPS,,2017-07-06T15:43:31+00:00,,,,,,,,,HFG,Port,2,10,41.1497524,-71.6219245,5.480000019,232,14
Rhode Island,Block Island,2017-07-06T15:30:55+00:00,2017-07-06T15:52:47+00:00,OUT,279,GPS,,2017-07-06T15:49:01+00:00,,,,,,,,,HFG,Port,2,10,41.1417555,-71.6384621,5.170000076,232,12
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,292,GPS,START,2017-07-06T15:57:18+00:00,,,,,,,,,HFG,Port,2,10,41.1314785,-71.6603296,5.050000191,234,3
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,294,GPS,,2017-07-06T15:58:20+00:00,,,,,,,,,HFG,Port,2,10,41.1277305,-71.6646855,,,14
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,295,GPS,,2017-07-06T15:58:51+00:00,,,,,,,,,HFG,Port,2,10,41.1265304,-71.665627,4.78000021,214,10
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,296,GPS,,2017-07-06T15:59:21+00:00,,,,,,,,,HFG,Port,2,10,41.1254777,-71.6665762,4.989999771,211,6
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,297,GPS,,2017-07-06T15:59:49+00:00,,,,,,,,,HFG,Port,2,10,41.1244267,-71.6674798,6.150000095,209,9
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,298,GPS,,2017-07-06T16:00:21+00:00,,,,,,,,,HFG,Port,2,10,41.1233431,-71.6684925,4.619999886,212,7
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,317,GPS,,2017-07-06T16:13:20+00:00,,,,,,,,,HFG,Port,2,10,41.1132666,-71.7051658,5.449999809,278,8
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,322,GPS,,2017-07-06T16:15:50+00:00,,,,,,,,,HFG,Port,2,10,41.1155891,-71.7143835,5.21999979,304,12
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,325,GPS,,2017-07-06T16:17:20+00:00,,,,,,,,,HFG,Port,2,10,41.1155918,-71.719807,5.599999905,239,7
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,326,GPS,,2017-07-06T16:17:50+00:00,,,,,,,,,HFG,Port,2,10,41.11489,-71.7217511,5.940000057,249,4
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,331,GPS,,2017-07-06T16:20:19+00:00,,,,,,,,,HFG,Port,2,10,41.1111109,-71.7311202,6.639999866,242,9
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,332,GPS,,2017-07-06T16:20:50+00:00,,,,,,,,,HFG,Port,2,10,41.1103792,-71.7329556,6.119999886,243,4
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,340,GPS,,2017-07-06T16:24:20+00:00,,,,,,,,,HFG,Port,2,10,41.1048202,-71.7456715,5.449999809,245,7
Rhode Island,Montauk,2017-07-06T15:57:15+00:00,2017-07-06T18:56:18+00:00,OUT,341,GPS,,2017-07-06T16:24:47+00:00,,,,,,,,,HFG,Port,2,10,41.1048078,-71.7457075,5.449999809,245,7
