type,Waypoint,Latitude,Longitude,y_proj,x_proj,depth,temp,time,wpt_class,sub_class,filename,ltime,magvar,Count,Type,Bird Type,,Behavior,Flight Direction,Behavior.Direction,Distance
WAYPOINT,55,41.090948,-71.78462,41.090948,-71.78462,9.356833,,,2017/07/05 16:55:45+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:55,12,1,Common Tern,,Forage,,Forage ,500
WAYPOINT,56,41.090645,-71.786034,41.090645,-71.786034,7.85285,,,2017/07/05 16:56:09+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 12:56,2,1,Common Rosefinch,,Forage,,Forage ,500
WAYPOINT,57,41.088614,-71.80526,41.088614,-71.80526,10.257306,,,2017/07/05 17:01:28+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:01,1,1,Double-crested Cormorant,,Fly,W,Fly W,200
WAYPOINT,58,41.105001,-71.810164,41.105001,-71.810164,5.885194,,,2017/07/05 17:14:47+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:14,3,1,Common Tern,,Fly,,Fly ,200
WAYPOINT,59,41.103887,-71.811201,41.103887,-71.811201,6.786602,,,2017/07/05 17:15:29+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:15,3,1,Common Tern,,Forage,,Forage ,100
WAYPOINT,60,41.100609,-71.813134,41.100609,-71.813134,8.229566,,,2017/07/05 17:17:13+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:17,5,1,Common Tern,,Fly,,Fly ,300
WAYPOINT,61,41.098832,-71.81404,41.098832,-71.81404,8.273799,,,2017/07/05 17:18:06+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:18,1,1,Common Tern,,Fly,,Fly ,200
WAYPOINT,62,41.0967,-71.815201,41.0967,-71.815201,6.60412,,,2017/07/05 17:19:12+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:19,2,1,Common Tern,,Fly,,Fly ,100
WAYPOINT,63,41.095131,-71.823392,41.095131,-71.823392,4.548344,,,2017/07/05 17:27:05+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:27,5,1,Common Tern,,Fly,,Fly ,500
WAYPOINT,64,41.096824,-71.824497,41.096824,-71.824497,4.483202,,,2017/07/05 17:28:18+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:28,2,1,Common Tern,,Fly,,Fly ,500
WAYPOINT,65,41.098347,-71.825435,41.098347,-71.825435,4.226335,,,2017/07/05 17:29:20+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:29,2,1,Common Tern,,Forage,,Forage ,500
WAYPOINT,66,41.09974,-71.826866,41.09974,-71.826866,2.565202,,,2017/07/05 17:30:29+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:30,3,1,Common Tern,,Forage,,Forage ,500
WAYPOINT,67,41.101049,-71.828208,41.101049,-71.828208,2.667492,,,2017/07/05 17:31:33+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:31,3,1,Common Tern,,Fly,,Fly ,500
WAYPOINT,68,41.102522,-71.829713,41.102522,-71.829713,2.979832,,,2017/07/05 17:32:48+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:32,3,1,Common Tern,,Fly,,Fly ,500
WAYPOINT,69,41.102994,-71.830156,41.102994,-71.830156,3.390828,,,2017/07/05 17:33:12+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:33,2,1,Common Tern,,Forage,,Forage ,100
WAYPOINT,70,41.104583,-71.8317,41.104583,-71.8317,3.620009,,,2017/07/05 17:34:35+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:34,1,1,Common Tern,,Fly,,Fly ,200
WAYPOINT,71,41.102394,-71.845416,41.102394,-71.845416,6.599826,,,2017/07/05 17:39:54+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:39,150,1,Common Tern,,,, ,500
WAYPOINT,71,41.102394,-71.845416,41.102394,-71.845416,6.599826,,,2017/07/05 17:39:54+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:39,1,1,Roseate Tern,,,, ,500
WAYPOINT,72,41.101522,-71.851274,41.101522,-71.851274,8.66134,,,2017/07/05 17:43:05+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:43,55,1,Common Tern,,Fly/Forage,,Fly/Forage ,
WAYPOINT,72,41.101522,-71.851274,41.101522,-71.851274,8.66134,,,2017/07/05 17:43:05+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 13:43,2,1,Roseate Tern,,Fly/Forage,,Fly/Forage ,
WAYPOINT,73,41.106049,-71.601861,41.106049,-71.601861,5.736671,,,2017/07/05 18:47:14+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 14:47,,,,,,, ,
WAYPOINT,74,41.105693,-71.600408,41.105693,-71.600408,3.223535,,,2017/07/05 18:48:04+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 14:48,,,,,,, ,
WAYPOINT,75,41.104357,-71.565209,41.104357,-71.565209,6.675221,,,2017/07/05 19:06:57+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:06,,,,,,, ,
WAYPOINT,76,41.107519,-71.538647,41.107519,-71.538647,4.976607,,,2017/07/05 19:16:09+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:16,,,,,,, ,
WAYPOINT,77,41.144137,-71.571604,41.144137,-71.571604,5.308772,,,2017/07/05 19:49:02+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:49,1,1,Common Tern,,Fly,SE,Fly SE,100
WAYPOINT,78,41.140789,-71.592479,41.140789,-71.592479,2.8958,,,2017/07/05 19:54:11+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:54,45,1,Common Tern,,Forage,,Forage ,500
WAYPOINT,79,41.141161,-71.598404,41.141161,-71.598404,8.5704,,,2017/07/05 19:55:37+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:55,1,1,Common Tern,,Fly,E,Fly E,50
WAYPOINT,80,41.147929,-71.608492,41.147929,-71.608492,7.209009,,,2017/07/05 19:59:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:59,120,1,Common Tern,,Forage,,Forage ,300
WAYPOINT,80,41.147929,-71.608492,41.147929,-71.608492,7.209009,,,2017/07/05 19:59:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 15:59,2,1,Roseate Tern,,Fly,E,Fly E,300
WAYPOINT,81,41.154444,-71.616854,41.154444,-71.616854,7.070318,,,2017/07/05 20:08:22+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 16:08,1,1,Common Tern,,Fly,E,Fly E,200
WAYPOINT,82,41.157119,-71.617183,41.157119,-71.617183,10.272704,,,2017/07/05 20:09:41+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 16:09,5,1,Common Tern,,Fly,NE,Fly NE,300
WAYPOINT,83,41.158971,-71.617369,41.158971,-71.617369,11.34478,,,2017/07/05 20:10:17+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 16:10,2,1,Common Tern,,Fly,E,Fly E,300
WAYPOINT,84,41.163079,-71.6183,41.163079,-71.6183,10.919609,,,2017/07/05 20:11:35+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 16:11,1,1,Common Tern,,Fly,E,Fly E,200
WAYPOINT,85,41.348383,-71.662833,41.348383,-71.662833,9.562198,,,2017/07/05 21:56:17+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 17:56,8,,,,Fly/Forage,,Fly/Forage ,
WAYPOINT,86,41.349547,-71.660661,41.349547,-71.660661,9.225418,,,2017/07/05 21:57:23+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 17:57,1,1,Common Tern,,Fly,E,Fly E,100
WAYPOINT,87,41.368959,-71.568502,41.368959,-71.568502,6.996056,,,2017/07/05 22:28:27+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 18:28,9,,,,Forage,,Forage ,
WAYPOINT,87,41.368959,-71.568502,41.368959,-71.568502,6.996056,,,2017/07/05 22:28:27+00,,garmin GPSMAP 78s Software Version 610,,7/5/17 18:28,1,1,Common Tern,,Fly,S,Fly S,500
,88,41.1343244,-71.612146,41.1343244,-71.612146,,,,,,,,,5,1,Common Tern,,Forage,,Forage,300
,89,41.1456522,-71.6151293,41.1456522,-71.6151293,,,,,,,,,1,1,Common Tern,,Fly,NW,Fly NW,200
,90,41.1484937,-71.6157921,41.1484937,-71.6157921,,,,,,,,,5,1,Common Tern,,Fly,N,Fly N,200
,91,41.1513069,-71.6172161,41.1513069,-71.6172161,,,,,,,,,1,1,Common Tern,,Fly,S,Fly S,500
